agency,wordcount,shall,must,may not,required,prohibited,restrictions
"Federal Railroad Administration, Department Of Transportation",715357,6609,1707,239,1831,43,10429
Federal Reserve System,1531776,4008,4822,716,3253,321,13120
Federal Retirement Thrift Investment Board,79686,153,305,31,86,12,587
Federal Trade Commission,405582,2310,900,88,937,60,4295
"Federal Transit Administration, Department Of Transportation",86428,444,317,27,145,30,963
"Financial Crimes Enforcement Network, Department Of The Treasury",91210,577,213,7,321,3,1121
Financial Stability Oversight Council,26537,218,20,6,22,1,267
"Fiscal Service, Department Of The Treasury",344946,781,1043,108,409,24,2365
"Fishery Conservation And Management, National Oceanic And Atmospheric Administration, Department Of Commerce",1317405,2386,6190,860,1970,806,12212
"Food And Drug Administration, Department Of Health And Human Services",2473687,12208,5359,362,4152,145,22226
"Food And Nutrition Service, Department Of Agriculture",707454,6934,4068,248,1194,68,12512
"Food Safety And Inspection Service, Department Of Agriculture",412916,5520,804,83,846,56,7309
"Foreign Agricultural Service, Department Of Agriculture",35295,104,295,2,54,2,457
"Foreign Claims Settlement Commission Of The United States, Department Of Justice",17958,21,58,3,28,1,111
Foreign Service Grievance Board,7473,110,2,2,5,7,126
Foreign Service Labor Relations Board; Federal Labor Relations Authority; General Counsel Of The Federal Labor Relations Authority; And The Foreign Service Impasse Disputes Panel,29627,491,21,5,20,20,557
"Foreign-Trade Zones Board, Department Of Commerce",18479,246,21,2,12,2,283
"Forest Service, Department Of Agriculture",308538,1671,834,317,357,129,3308
General,8614,2,36,0,22,0,60
General Services Administration,211233,1317,462,57,395,42,2273
"Geological Survey, Department Of The Interior",4804,38,5,0,5,0,48
Government Accountability Office,60191,621,79,13,62,64,839
"Government National Mortgage Association, Department Of Housing And Urban Development",8624,45,25,1,14,2,87
"Grain Inspection, Packers And Stockyard Administration (Federal Grain Inspection Service), Department Of Agriculture",91607,990,80,13,82,30,1195
"Grain Inspection, Packers And Stockyards Administration (Packers And Stockyards Programs), Department Of Agriculture",52513,492,190,6,84,4,776
Gulf Coast Ecosystem Restoration Council,12515,127,18,1,15,1,162
Harry S. Truman Scholarship Foundation,9776,69,28,8,26,0,131
Health And Human Services,39398,470,57,4,67,1,599
"Indian Arts And Crafts Board, Department Of The Interior",7388,53,14,3,0,0,70
"Information Security Oversight Office, National Archives And Records Administration",33408,459,87,4,68,10,628
Institute Of Museum And Library Services,4319,13,21,1,6,2,43
Inter-American Foundation,27917,85,105,27,50,15,282
"Internal Revenue Service, Department Of The Treasury",11420422,27883,19993,2621,16077,735,67309
"International Boundary And Water Commission, United States And Mexico, United States Section",22957,194,23,9,27,3,256
International Fishing And Related Activities,118950,243,655,50,265,36,1249
"International Joint Commission, United States And Canada",4582,78,0,0,8,0,86
"International Trade Administration, Department Of Commerce",125997,404,254,26,69,3,756
Interstate Commerce Commission,1002,5,2,0,1,4,12
James Madison Memorial Fellowship Foundation,10199,44,27,8,40,2,121
Japan-United States Friendship Commission,3711,42,6,8,6,2,64
Joint Board For The Enrollment Of Actuaries,21557,153,66,14,41,1,275
"Joint Regulations (United States Fish And Wildlife Service, Department Of The Interior And National Marine Fisheries Service, National Oceanic And Atmospheric Administration, Department Of Commerce); Endangered Species Committee Regulations",43720,302,64,11,77,10,464
Legal Services Corporation,62989,651,64,34,55,46,850
Library Of Congress,11662,114,16,3,4,12,149
Local Television Loan Guarantee Board,20543,181,44,10,45,7,287
Marine Mammal Commission,12966,203,15,7,22,2,249
"Maritime Administration, Department Of Transportation",254589,2357,434,55,447,22,3315
Merit Systems Protection Board,71744,123,395,43,77,63,701
Military Compensation And Retirement Modernization Commission,3616,9,10,0,4,1,24
Millennium Challenge Corporation,12168,106,36,5,20,5,172
"Mine Safety And Health Administration, Department Of Labor",420686,8025,1037,6,668,25,9761
Minority Business Development Agency,1288,5,3,0,0,0,8
Miscellaneous Agencies,17900,228,26,16,24,4,298
"Monetary Offices, Department Of The Treasury",22581,107,22,1,39,13,182
Morris K. Udall Scholarship And Excellence In National Environmental Policy Foundation,8585,35,24,0,15,0,74
National Aeronautics And Space Administration,316527,2614,424,97,565,64,3764
"National Agricultural Statistics Service, Department Of Agriculture",2281,6,0,0,0,0,6
National Archives And Records Administration,144619,279,880,69,146,30,1404
National Commission On Libraries And Information Science,9994,89,9,9,9,2,118
National Council On Disability,13448,119,42,12,16,2,191
National Counterintelligence Center,20889,192,32,11,40,4,279
National Credit Union Administration,366512,1044,1539,158,516,75,3332
National Crime Prevention And Privacy Compact Council,5754,96,7,2,10,1,116
National Endowment For The Arts,2145,2,15,0,2,2,21
National Endowment For The Humanities,2270,2,15,0,2,2,21
National Foundation On The Arts And The Humanities,102584,608,215,74,148,51,1096
"National Highway Traffic Safety Administration And Federal Highway Administration, Department Of Transportation",41497,287,38,17,64,2,408
"National Highway Traffic Safety Administration, Department Of Transportation",814960,5280,2253,143,1031,26,8733
"National Indian Gaming Commission, Department Of The Interior",125646,1793,722,20,209,20,2764
